domain,config,ts,any_problem,storm,n,has_flags
whistler,grid,2025-12-20_00-00-00,0.9302752293577982,0.8385321100917431,545.0,True
whistler,grid,2025-12-20_06-00-00,0.926605504587156,0.6,545.0,True
whistler,grid,2025-12-20_12-00-00,0.9284403669724771,0.6587155963302752,545.0,True
whistler,grid,2025-12-20_18-00-00,0.9284403669724771,0.6587155963302752,545.0,True
whistler,grid,2025-12-21_00-00-00,0.9284403669724771,0.6623853211009174,545.0,True
whistler,grid,2025-12-21_06-00-00,0.9321100917431193,0.6642201834862386,545.0,True
whistler,grid,2025-12-21_12-00-00,0.9321100917431193,0.5853211009174312,545.0,True
whistler,grid,2025-12-21_18-00-00,0.9321100917431193,0.5853211009174312,545.0,True
whistler,grid,2025-12-22_00-00-00,0.9321100917431193,0.5981651376146789,545.0,True
whistler,grid,2025-12-22_06-00-00,0.9412844036697248,0.6275229357798165,545.0,True
whistler,grid,2025-12-22_12-00-00,0.9412844036697248,0.653211009174312,545.0,True
whistler,grid,2025-12-22_18-00-00,0.9412844036697248,0.653211009174312,545.0,True
whistler,grid,2025-12-23_00-00-00,0.963302752293578,0.6458715596330276,545.0,True
whistler,grid,2025-12-23_06-00-00,0.9779816513761468,0.655045871559633,545.0,True
whistler,grid,2025-12-23_12-00-00,0.9779816513761468,0.6825688073394496,545.0,True
whistler,grid,2025-12-23_18-00-00,0.981651376146789,0.7155963302752294,545.0,True
whistler,grid,2025-12-24_00-00-00,0.963302752293578,0.7779816513761468,545.0,True
whistler,grid,2025-12-24_06-00-00,0.9669724770642202,0.6623853211009174,545.0,True
whistler,grid,2025-12-24_12-00-00,0.9669724770642202,0.5137614678899083,545.0,True
whistler,hex,2025-12-20_00-00-00,1.0,0.8714285714285714,70.0,True
whistler,hex,2025-12-20_06-00-00,1.0,0.8,70.0,True
whistler,hex,2025-12-20_12-00-00,1.0,0.8857142857142857,70.0,True
whistler,hex,2025-12-20_18-00-00,1.0,0.8857142857142857,70.0,True
whistler,hex,2025-12-21_00-00-00,1.0,0.8857142857142857,70.0,True
whistler,hex,2025-12-21_06-00-00,1.0,0.8714285714285714,70.0,True
whistler,hex,2025-12-21_12-00-00,1.0,0.7857142857142857,70.0,True
whistler,hex,2025-12-21_18-00-00,1.0,0.8,70.0,True
whistler,hex,2025-12-22_00-00-00,1.0,0.7857142857142857,70.0,True
whistler,hex,2025-12-22_06-00-00,1.0,0.8,70.0,True
whistler,hex,2025-12-22_12-00-00,1.0,0.8571428571428571,70.0,True
whistler,hex,2025-12-22_18-00-00,1.0,0.8571428571428571,70.0,True
whistler,hex,2025-12-23_00-00-00,1.0,0.8571428571428571,70.0,True
whistler,hex,2025-12-23_06-00-00,1.0,0.8571428571428571,70.0,True
whistler,hex,2025-12-23_12-00-00,1.0,0.8714285714285714,70.0,True
whistler,hex,2025-12-23_18-00-00,1.0,0.9142857142857143,70.0,True
whistler,hex,2025-12-24_00-00-00,1.0,0.9285714285714286,70.0,True
whistler,hex,2025-12-24_06-00-00,1.0,0.8714285714285714,70.0,True
whistler,hex,2025-12-24_12-00-00,1.0,0.7142857142857143,70.0,True
rogers,grid,2025-12-20_00-00-00,0.8953125,0.715625,640.0,True
rogers,grid,2025-12-20_06-00-00,0.8953125,0.721875,640.0,True
rogers,grid,2025-12-20_12-00-00,0.884375,0.5640625,640.0,True
rogers,grid,2025-12-20_18-00-00,0.8953125,0.58125,640.0,True
rogers,grid,2025-12-21_00-00-00,0.890625,0.578125,640.0,True
rogers,grid,2025-12-21_06-00-00,0.890625,0.58125,640.0,True
rogers,grid,2025-12-21_12-00-00,0.8875,0.58125,640.0,True
rogers,grid,2025-12-21_18-00-00,0.890625,0.49375,640.0,True
rogers,grid,2025-12-22_00-00-00,0.9046875,0.4875,640.0,True
rogers,grid,2025-12-22_06-00-00,0.8953125,0.490625,640.0,True
rogers,grid,2025-12-22_12-00-00,0.8984375,0.4890625,640.0,True
rogers,grid,2025-12-22_18-00-00,0.9015625,0.4953125,640.0,True
rogers,grid,2025-12-23_00-00-00,0.9234375,0.49375,640.0,True
rogers,grid,2025-12-23_06-00-00,0.9265625,0.4890625,640.0,True
rogers,grid,2025-12-23_12-00-00,0.93125,0.4078125,640.0,True
rogers,grid,2025-12-23_18-00-00,0.9265625,0.4125,640.0,True
rogers,grid,2025-12-24_00-00-00,0.9421875,0.421875,640.0,True
rogers,grid,2025-12-24_06-00-00,0.9515625,0.4515625,640.0,True
